Type,Indicator (APK),Filename,Package
SHA256,11b82a748f3482f9f9be3b1b6713cfeb564d2f42e1bd768bcb8221e8bbbf327c,sagawa1.7.3.apk,com.lmau.jvgq
SHA256,e6eb1d19d33e644183b575ae2ed1b39d9ffebc853308c5980fc9a59b330bdab4,sagawa9.9.1.apk,com.vooy.brhe
SHA256,39b0010f71949ee55379501d06b714c925bfd6f9385b027e3720b4047c3282d5,sagawa6.8.5.apk,com.gbkf.rslr
SHA256,2aa7f0d6fb9e6fc99adf5b53d4a88deaf1385180df709a2da635d945e88e9b75,,com.utgt.jrmn
SHA256,7d21a40f86f06914c4af72e21e15ffa9affc0c7041d82e72e357955e00daa78d,, com.ljst.yjgj
SHA256,90d6e26ef08a8699a1ec6c691c4dd16e59120fd9c53d39aa20faf8289490873f,, com.dqpc.jmwb
SHA256,34c3f7071f44de57a519b34c4f8bc5a872d26571e4bdf5ff2d1d82780147d857,,com.skaw.tcol
SHA256,893b6b248a12a4a1859bdb25e0a9d83fa7285eef2f2a48971ba1637df7d6fb52,,com.ipom.wkpa
SHA256,f118097a7d2304c5d63edf8956d41aebbd5938348b1b650dc8675230c304cd26,, com.qsgm.xdiy
SHA256,29ae83d58576351a8b0449d7cfcb458ca20a3207c9c9d1b8e8d008b070b9d27e,, com.jdpn.jgyr
SHA256,91cccd99ff808ee73295ca1e53225284cabd27d8b1cecef5fb257411693a30a5,,com.dkrq.bosl
SHA256,edd930084ab5664ef7512dea23c06a834511d58a33aba32db6da0b7b1df966ec,,com.mbth.nxek
SHA256,0b12887f2975ef4619ebca816b28a92d3ba5e1f32e79b39128d92f4c0e954ad3,,com.bngg.zrkd
SHA256,e3e446e17933ed2a11de886f657acc0121b346020554da2af163072468106eb6,,com.jvpz.lwgm
SHA256,2ea621b9361b7acf6f6feae1505c45e593243033245e330375f28201fbb12665,,com.abnc.fbpo
SHA256,fb1d41099818e98a82037b503e0ab324fbbf6cc3b9d61712b080d77361b87417,,com.wdrj.qoyp
SHA256,d08e8f1b4e3e1511942b9d36774ebd0130dfe7450b9873546b838ddbf9bad486,,com.kzto.oqzq
SHA256,69437b438b6d3213734bc28079b361ff06948dab1af7483122a7f25c53db4a68,,com.vamd.bymv
SHA256,1ca69a1975c90a6192fb839ab6ffa2dd72a420b6fd1a07a0d310b5111952e49d,,com.qptm.znnz
SHA256,1eb5f94fc368a98601ff84d578746f57245b6fa8cc10509638ac023ec3b498b3,,com.yxpe.zvlz
SHA256,e8f3df999ed97e61ca3468529ec094932298118f018974becde8b22f960a9eac,,com.qzvz.rnis
